Country;GDPChange
Austria;0,476615654
Belgium;-3,841223514
Bulgaria;-2,924913113
Croatia;-6,890130255
Cyprus;-4,849830336
Czechia;-1,144876302
Denmark;-4,113444835
Estonia;-7,843766062
Finland;-1,573965911
France;-3,836696516
Germany;-1,242860566
Greece;-2,198860642
Hungary;-2,474594133
Ireland;-5,208191722
Italy;-4,405115899
Latvia;-2,940941793
Lithuania;-3,717385413
Luxembourg;-5,740515097
Malta;-5,24995909
Netherlands;-1,799354124
Poland;-1,332585643
Portugal;1,089999348
Romania;-1,116915692
Slovakia;-3,038784399
Slovenia;-5,563796191
Spain;-0,632349536
Sweden;-3,019509373
